year,IBTrACS_ID,TC_name,NatCatSERVICE_ID,genesis_basin,countries_affected,ISO3,v_land_SI,v_land_kn,pop_34kn,pop_64kn,pop_96kn,assets_34kn,assets_64kn,assets_96kn,pop_34kn_5km,pop_64kn_5km,pop_96kn_5km,assets_34kn_5km,assets_64kn_5km,assets_96kn_5km,pop_34kn_15km,pop_64kn_15km,pop_96kn_15km,assets_34kn_15km,assets_64kn_15km,assets_96kn_15km,pop_34kn_30km,pop_64kn_30km,pop_96kn_30km,assets_34kn_30km,assets_64kn_30km,assets_96kn_30km
1950,1950261N27138,MISSATHA,,WP,single,JPN,31.0,60.3,7738.822443005601,0.0,0.0,86893184.4456241,0.0,0.0,5898.532470699,0.0,0.0,62761037.216919996,0.0,0.0,7738.822443005601,0.0,0.0,86893184.4456241,0.0,0.0,7738.822443005601,0.0,0.0,86893184.4456241,0.0,0.0
1950,1950269N05153,OSSIA,,WP,multi,CHN,36.4,70.8,7597983.70613799,0.0,0.0,12211042959.652435,0.0,0.0,2315674.3315864387,0.0,0.0,4190859462.573503,0.0,0.0,5793219.634040997,0.0,0.0,9348029642.83398,0.0,0.0,6721055.895346932,0.0,0.0,10899981530.171877,0.0,0.0
1950,1950269N05153,OSSIA,,WP,multi,HKG,32.7,63.6,2177953.440681456,0.0,0.0,16106554065.420202,0.0,0.0,,,,,,,,,,,,,,,,,,
1950,1950269N05153,OSSIA,,WP,multi,PHL,46.9,91.2,2802086.758359758,1861608.022836554,0.0,6878101220.308188,3396909359.206947,0.0,240921.4769458618,88630.6966190135,0.0,540199369.113791,145412850.829866,0.0,1136409.0819148605,736928.8876514002,0.0,2072669248.4370375,917988314.524817,0.0,1716281.0705774806,1224348.4771746094,0.0,3178179937.0330877,1606671359.903747,0.0
1950,1950270N19114,UNNAMED,,WP,single,CHN,20.4,39.7,1574027.26940929,0.0,0.0,1661591622.89014,0.0,0.0,326507.39685063,0.0,0.0,298180787.22534,0.0,0.0,1026657.38317883,0.0,0.0,1000537536.68734,0.0,0.0,1363704.48620608,0.0,0.0,1390673956.99724,0.0,0.0
1950,1950270N25309,GEORGE,,,multi,CAN,28.7,55.7,107926.287525759,0.0,0.0,2189174079.0798426,0.0,0.0,79802.44242771021,0.0,0.0,1460057894.9509885,0.0,0.0,107411.72322760204,0.0,0.0,2135053149.2370331,0.0,0.0,107926.287525759,0.0,0.0,2189174079.0798426,0.0,0.0
1950,1950270N25309,GEORGE,,,multi,FRO,22.9,44.5,23261.622391246263,0.0,0.0,0.0,0.0,0.0,22459.91621588892,0.0,0.0,0.0,0.0,0.0,23229.44825481629,0.0,0.0,0.0,0.0,0.0,23229.44825481629,0.0,0.0,0.0,0.0,0.0
1950,1950274N26272,HOW,,,single,MEX,21.3,41.4,13668.19507422455,0.0,0.0,117936666.40961988,0.0,0.0,208.48229682424298,0.0,0.0,2951192.9948400036,0.0,0.0,2377.799189267503,0.0,0.0,24575569.317252498,0.0,0.0,6033.965871955553,0.0,0.0,63619001.64627988,0.0,0.0
1950,1950281N23270,ITEM,,,single,MEX,50.2,97.6,2544612.737909945,513755.1847228965,164.047622681,10519780649.480658,2325839038.5482173,1753941.2462900002,70832.562026952,57750.543960547,0.0,318413225.9718,229817555.76532003,0.0,316815.8123053782,160867.0412291585,164.047622681,1220963709.059927,624506586.744597,1753941.2462900002,585016.9892462322,263160.0208434105,164.047622681,2353827250.037697,1144899509.093007,1753941.2462900002
1950,1950286N16276,KING,,,multi,BHS,45.0,87.5,15198.666932923878,0.0,0.0,149967876.6975962,0.0,0.0,,,,,,,,,,,,,,,,,,
1950,1950286N16276,KING,,,multi,CUB,50.5,98.1,2333595.3694434604,596369.964908835,7160.174926758001,10614751789.026834,2981360977.471592,46146236.15269,135026.601849642,44551.557697268865,617.982055664,710069490.36554,267619874.0317253,5649087.97403,576723.8799686639,188972.76016298952,3767.650024414,2983791548.0687466,1055727810.8394432,22723411.63463,1272171.6509376704,372474.853824795,7160.174926758001,6253321574.142486,1970295043.527342,46146236.15269
1950,1950286N16276,KING,,,multi,HND,19.0,36.8,98.79792791596701,0.0,0.0,880609.8092581,0.0,0.0,94.772991895593,0.0,0.0,829462.7906007002,0.0,0.0,98.79792791596701,0.0,0.0,880609.8092581,0.0,0.0,98.79792791596701,0.0,0.0,880609.8092581,0.0,0.0
1950,1950286N16276,KING,,,multi,JAM,34.7,67.5,823823.2553366668,0.0,0.0,1902187963.7743638,0.0,0.0,116061.87706377471,0.0,0.0,240840800.7550026,0.0,0.0,563656.0374412368,0.0,0.0,1225747229.5591035,0.0,0.0,821915.5329245569,0.0,0.0,1896369005.3303638,0.0,0.0
1950,1950286N16276,KING,,,multi,USA,65.7,127.7,3315496.535119873,1797318.8957986815,603608.4313951514,259356351367.08386,138203288657.78198,40882102081.63335,483931.9389431435,158019.35256520688,59443.8299980764,37307767815.52138,12293444955.78034,4286886314.7322,1298884.5507405358,659767.200425606,345048.72278714983,95159359884.73337,45670157060.5836,21786193209.211967,1831007.1728100819,1039379.8039208329,586630.9140789979,139588764388.6419,75076453665.12979,38350189282.291695
