year,IBTrACS_ID,ISO3,pop_34kn,pop_64kn,pop_96kn,assets_34kn,assets_64kn,assets_96kn,pop_34kn_5km,pop_64kn_5km,pop_96kn_5km,assets_34kn_5km,assets_64kn_5km,assets_96kn_5km,pop_34kn_15km,pop_64kn_15km,pop_96kn_15km,assets_34kn_15km,assets_64kn_15km,assets_96kn_15km,pop_34kn_30km,pop_64kn_30km,pop_96kn_30km,assets_34kn_30km,assets_64kn_30km,assets_96kn_30km
1950,1950231N12306,DOM,30161.43426597408,0,0,92118378.03289284,0,0,5539.5501365663,0,0,26537217.24059781,0,0,30085.20859611328,0,0,91573480.30115484,0,0,30085.20859611328,0,0,91573480.30115484,0,0
1950,1950231N12306,GLP,204656.01716829182,141248.43844041438,0,2434267.68773,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,1950231N12306,KNA,28395.9801988187,20278.0529527287,0,46585012.394674584,32527443.51653458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,1950231N12306,MEX,737.317195809479,0,0,10225855.475240149,0,0,484.468705176531,0,0,5786088.265773649,0,0,729.057364023319,0,0,9786994.501913149,0,0,737.317195809479,0,0,10225855.475240149,0,0
1950,1950231N12306,MSR,13521.2478132379,13521.2478132379,0,0,0,0,10672.0888672,10672.0888672,0,0,0,0,10672.0888672,10672.0888672,0,0,0,0,10672.0888672,10672.0888672,0,0,0,0
1950,1950231N12306,PRI,2217994.074796429,0,0,16490008982.624613,0,0,542278.9619685301,0,0,3908675292.165975,0,0,1663306.292081199,0,0,12058870878.212212,0,0,2217994.074796429,0,0,16490008982.624613,0,0
1950,1950231N12306,TCA,586.239889383055,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,1950231N12306,USA,2960799.8672791626,584572.2105361832,0,187051894082.01157,37384785008.819954,0,257579.61680956572,118677.86898083829,0,16729489952.857958,7706382070.698426,0,516785.40789795853,283113.7978698131,0,32577155299.119064,16773432275.305754,0,634945.8647842219,305211.6448241641,0,41674645850.838264,19030551913.652454,0
1950,1950231N12306,VIR,13186.4174842909,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,1950243N15304,AIA,6111.453598029,6111.453598029,6111.453598029,0,0,0,5473.244491584,5473.244491584,5473.244491584,0,0,0,5646.618850715,5646.618850715,5646.618850715,0,0,0,5646.618850715,5646.618850715,5646.618850715,0,0,0
1950,1950243N15304,ANT,15379.92041016,15379.92041016,15379.92041016,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,1950243N15304,ATG,46299.6306924788,46299.6306924788,46299.6306924788,97037805.557349,97037805.557349,97037805.557349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,1950243N15304,DMA,50761.5134620599,0,0,169042494.470498,0,0,43215.7177619849,0,0,140933678.332178,0,0,50540.2443733149,0,0,167949083.170378,0,0,50540.2443733149,0,0,167949083.170378,0,0
1950,1950243N15304,GBR,2938195.1677321433,126862.5319513607,0,116230212004.57372,5776875702.269536,0,819984.1555060081,74594.17545461119,0,32845108792.741997,3112853552.0394597,0,1963881.4585143272,118167.14398305811,0,71108157181.00987,4679241920.580517,0,2782617.22608603,123129.4014562907,0,104319879828.6183,5351203562.924336,0
1950,1950243N15304,GLP,204656.01716829182,160199.79718228948,12932.111566541389,2434267.68773,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,1950243N15304,IRL,885482.4144690902,2850.795349117,0,5535781776.462277,19415214.31436,0,311439.4564518854,2850.795349117,0,2181179501.798459,19415214.31436,0,521213.53544074117,2850.795349117,0,3515131707.6073575,19415214.31436,0,722331.9647620101,2850.795349117,0,4651503153.890778,19415214.31436,0
1950,1950243N15304,KNA,28395.9801988187,28395.9801988187,2275.32373047,46585012.394674584,46585012.394674584,4870677.46253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,1950243N15304,MSR,13521.2478132379,13521.2478132379,0,0,0,0,10672.0888672,10672.0888672,0,0,0,0,10672.0888672,10672.0888672,0,0,0,0,10672.0888672,10672.0888672,0,0,0,0
1950,1950243N15304,PRI,3890.43584561009,0,0,33987164.260275,0,0,3890.43584561009,0,0,33987164.260275,0,0,3890.43584561009,0,0,33987164.260275,0,0,3890.43584561009,0,0,33987164.260275,0,0
1950,1950243N15304,VIR,13186.4174842909,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,1950247N15145,JPN,18013591.228062917,3771669.2452819506,0,161890032701.81955,37813744376.583694,0,6753117.31624975,1458942.1238607133,0,55194489249.456154,11483218294.544561,0,13964062.763988443,2827027.265045036,0,116127161031.4917,25100491733.17183,0,17062694.637194455,3424813.3618806163,0,148100744732.94702,32706984762.05793,0
1950,1950247N15145,RUS,2361.0604796105836,0,0,7637711.914100122,0,0,1956.1083360461635,0,0,5815067.721559154,0,0,2361.0604796105836,0,0,7637711.914100122,0,0,2361.0604796105836,0,0,7637711.914100122,0,0
1950,1950249N15115,VNM,153670.58942503016,0,0,109479451.6499725,0,0,145422.6451832685,0,0,99469181.4513401,0,0,153670.58942503016,0,0,109479451.6499725,0,0,153670.58942503016,0,0,109479451.6499725,0,0
1950,1950261N27138,JPN,7738.822443005601,0,0,86893184.4456241,0,0,5898.532470699,0,0,62761037.21692,0,0,7738.822443005601,0,0,86893184.4456241,0,0,7738.822443005601,0,0,86893184.4456241,0,0
1950,1950269N05153,CHN,7597983.7061379915,0,0,12211042959.652437,0,0,2315674.3315864387,0,0,4190859462.573503,0,0,5793219.634040998,0,0,9348029642.83398,0,0,6721055.895346932,0,0,10899981530.171877,0,0
1950,1950269N05153,HKG,2177953.4406814557,0,0,16106554065.420204,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,1950269N05153,PHL,2802086.758359758,1861608.022836554,0,6878101220.3081875,3396909359.206947,0,240921.4769458618,88630.6966190135,0,540199369.113791,145412850.829866,0,1136409.0819148605,736928.8876514002,0,2072669248.4370377,917988314.524817,0,1716281.0705774806,1224348.4771746094,0,3178179937.0330877,1606671359.903747,0
1950,1950270N19114,CHN,1574027.26940929,0,0,1661591622.89014,0,0,326507.39685063,0,0,298180787.22534,0,0,1026657.38317883,0,0,1000537536.68734,0,0,1363704.48620608,0,0,1390673956.99724,0,0
1950,1950270N25309,CAN,107926.28752575899,0,0,2189174079.0798426,0,0,79802.44242771021,0,0,1460057894.9509883,0,0,107411.72322760204,0,0,2135053149.2370334,0,0,107926.28752575899,0,0,2189174079.0798426,0,0
1950,1950270N25309,FRO,23261.622391246266,0,0,0,0,0,22459.91621588892,0,0,0,0,0,23229.448254816292,0,0,0,0,0,23229.448254816292,0,0,0,0,0
1950,1950274N26272,MEX,13668.195074224552,0,0,117936666.40961988,0,0,208.48229682424298,0,0,2951192.994840004,0,0,2377.799189267503,0,0,24575569.3172525,0,0,6033.965871955553,0,0,63619001.64627988,0,0
1950,1950281N23270,MEX,2544612.737909945,513755.1847228965,164.047622681,10519780649.480658,2325839038.548217,1753941.24629,70832.562026952,57750.543960547,0,318413225.97179997,229817555.76532,0,316815.8123053782,160867.0412291585,164.047622681,1220963709.059927,624506586.744597,1753941.24629,585016.9892462322,263160.0208434105,164.047622681,2353827250.037697,1144899509.093007,1753941.24629
1950,1950286N16276,BHS,15198.666932923876,0,0,149967876.6975962,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,1950286N16276,CUB,2333595.3694434604,596369.964908835,7160.174926758,10614751789.026834,2981360977.471592,46146236.15269,135026.601849642,44551.557697268865,617.982055664,710069490.36554,267619874.03172526,5649087.97403,576723.8799686639,188972.76016298955,3767.6500244139997,2983791548.0687466,1055727810.8394432,22723411.63463,1272171.6509376704,372474.853824795,7160.174926758,6253321574.142486,1970295043.527342,46146236.15269
1950,1950286N16276,HND,98.797927915967,0,0,880609.8092581,0,0,94.772991895593,0,0,829462.7906007001,0,0,98.797927915967,0,0,880609.8092581,0,0,98.797927915967,0,0,880609.8092581,0,0
1950,1950286N16276,JAM,823823.2553366668,0,0,1902187963.7743635,0,0,116061.8770637747,0,0,240840800.7550026,0,0,563656.0374412368,0,0,1225747229.5591037,0,0,821915.5329245568,0,0,1896369005.3303635,0,0
1950,1950286N16276,USA,3315496.535119873,1797318.8957986815,603608.4313951514,259356351367.08386,138203288657.78198,40882102081.63335,483931.9389431435,158019.35256520688,59443.8299980764,37307767815.52138,12293444955.78034,4286886314.7322,1298884.550740536,659767.2004256059,345048.72278714983,95159359884.73337,45670157060.583595,21786193209.21197,1831007.172810082,1039379.803920833,586630.9140789979,139588764388.6419,75076453665.12979,38350189282.291695
1950,1950291N26271,USA,1125081.9850800012,16170.070918945414,0,93217441049.8473,1723790392.1039724,0,197497.30295791585,392.527173638392,0,14711799592.083876,78893467.96926367,0,412700.0681758396,907.0736049679336,0,31863265306.634907,203367991.8302324,0,616772.3949725069,6073.546274093714,0,49647712871.00628,678064691.7956024,0
1950,1950301N09138,JPN,6265.3163680989,0,0,72809426.9501,0,0,5898.532470699,0,0,62761037.21692,0,0,6265.3163680989,0,0,72809426.9501,0,0,6265.3163680989,0,0,72809426.9501,0,0
1950,1950305N12145,JPN,900936.5953022795,873077.7670325298,169642.32131094462,4995719802.764211,4721157762.894985,1142005712.850526,844450.3294061451,820017.581848591,157000.223632751,4488421806.933449,4267427804.9815,1048741248.7525,900933.6261207418,873074.7978509922,169642.32131094462,4995716794.293339,4721154754.424114,1142005712.850526,900936.5953022795,873077.7670325298,169642.32131094462,4995719802.764211,4721157762.894985,1142005712.850526
1950,1950322N07138,PHL,4228640.127658498,2056360.649767513,0,12556498681.365572,5466822349.069227,0,1618029.8243423407,831097.4328499042,0,4636572021.772848,2190796327.1251965,0,3602436.110385591,1785656.8204410179,0,10335830886.644224,4615701034.098029,0,4156252.7839085497,2043582.187365173,0,12286958437.47219,5424911374.098388,0
1950,1950360N10141,PHL,9699588.50934444,7013681.778536458,105544.2322045383,26214414652.648968,16795599257.298073,382073431.662672,2184072.226243751,1640787.5429684478,52988.33691412,5258118659.304813,3578090181.931725,180801861.17870998,6166999.671656469,4934871.086707368,105544.2322045383,14993655906.14578,10893750651.920887,382073431.662672,8173925.8928891495,6551457.594606782,105544.2322045383,20733223202.112278,15215604981.188654,382073431.662672
1951,1951119N06145,JPN,394159.50407008,2.0866741836080003,0,2156352752.838202,7294.950893509999,0,371785.52080089285,0,0,1916644917.80749,0,0,394159.50407008,2.0866741836080003,0,2156352752.838202,7294.950893509999,0,394159.50407008,2.0866741836080003,0,2156352752.838202,7294.950893509999,0
1951,1951119N06145,PHL,11717514.215146976,5630678.336518118,277163.20410156,33319943328.464523,14514649730.821804,821936003.95835,3028315.5757220825,1977841.219976963,97358.127136254,8037678209.089202,4409342988.227632,266773247.10255,7880387.979780255,4388902.178604324,223239.069946295,20689428578.688587,10710524964.690819,631530757.7168,10131976.349989174,5254306.096283819,277163.20410156,27422115404.063313,13308613394.806404,821936003.95835
1951,1951119N06145,TWN,1599064.6417966976,28681.457702653403,0,14194244039.913807,419551709.2847658,0,143915.0744323504,24241.875366226403,0,1859762208.8651657,342627251.4714658,0,1132898.2866388734,28681.457702653403,0,8617187635.220768,419551709.2847658,0,1483171.7413735942,28681.457702653403,0,12116109671.902637,419551709.2847658,0
1951,1951132N18111,CHN,5331407.669389148,0,0,9000013821.802008,0,0,1321257.83782971,0,0,2639405386.44846,0,0,2955819.119879344,0,0,5097246374.978188,0,0,3631171.148148698,0,0,6341913734.365278,0,0
1951,1951132N18111,HKG,2290356.5143438373,0,0,18039061321.392006,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,1951136N32292,BHS,16120.097050084898,13835.892790583463,0,148472801.93516842,117147799.55169654,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,1951136N32292,USA,581171.458885319,0,0,40400769181.40594,0,0,92356.04379532883,0,0,7650340814.282013,0,0,425169.554173564,0,0,28455137543.29189,0,0,564881.1152032228,0,0,38253622461.1735,0,0
1951,1951138N11256,MEX,775764.3595772578,0,0,3848119618.627886,0,0,54600.0281372207,0,0,161612068.341039,0,0,152597.45125028794,0,0,481578464.3309768,0,0,166028.17355738961,0,0,614662338.4115858,0,0
1951,1951152N14264,MEX,2257595.7040467015,531896.367672491,34714.6312561043,11197144063.135338,2251083125.5015297,193683003.00142,89365.8335609546,52383.028884906904,72.1223754883,270834062.83671254,152787874.0158771,1196668.30997,378320.5679248892,223861.18962909246,9119.2935180673,1115647918.342568,633444299.4899793,51570984.850889996,547055.8131316171,279417.37776614877,26476.0887451153,1784540421.0416572,912106886.5746697,124205604.0769
1951,1951169N18117,CHN,3014478.9046076075,0,0,3639277039.588832,0,0,680873.7850341635,0,0,658400820.8844559,0,0,1859397.4946954474,0,0,2004199751.5385718,0,0,2480762.8108576173,0,0,2833143236.6926317,0,0
1951,1951169N18117,VNM,9.27810287476,0,0,129539.045718,0,0,0,0,0,0,0,0,9.27810287476,0,0,129539.045718,0,0,9.27810287476,0,0,129539.045718,0,0
1951,1951177N12136,JPN,48679239.5754509,15384725.149716407,443340.3316364884,486836403520.028,150793930287.28812,6182934798.34843,10066914.02440399,3818174.635391281,118651.7817383,100178014304.90602,39072249346.87832,1677197140.6677,29181587.839419536,11038934.969423782,292362.3191089664,270763013340.6438,103981607617.93634,3343082531.05173,40267019.46200627,14255418.21795392,362600.0512409704,384906872834.50793,136178218811.51582,4604931709.95063
1951,1951178N17259,MEX,585617.1306376052,0,0,2515830129.622324,0,0,95885.1061726008,0,0,261748715.8971951,0,0,328352.8578841104,0,0,913902391.101915,0,0,368985.333213255,0,0,1191009909.808684,0,0
1951,1951181N21122,JPN,467397.993543403,0,0,3150227078.652074,0,0,436544.870666522,0,0,2856417523.6174603,0,0,467395.0659570859,0,0,3150223782.192551,0,0,467397.993543403,0,0,3150227078.652074,0,0
1951,1951187N17256,MEX,317.0395086670687,0,0,2308122.552056223,0,0,173.279312134,0,0,1011749.66899,0,0,317.0395086670687,0,0,2308122.552056223,0,0,317.0395086670687,0,0,2308122.552056223,0,0
1951,1951206N11145,CHN,9354901.28379534,0,0,14558738040.375511,0,0,2823197.572532728,0,0,4430025469.179985,0,0,5781463.161776214,0,0,8845950745.45276,0,0,7802405.150250258,0,0,11852754565.077991,0,0
1951,1951206N11145,HKG,2290356.5143438373,0,0,18039061321.392006,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,1951206N11145,PHL,2455051.3085299795,1838375.5808543311,473215.1059381057,5803236405.125951,3301662753.623078,1175949906.050945,167500.0624523103,107138.809467342,90290.0384559834,353074737.709726,182705962.729413,135422111.496766,968048.6949587874,777025.9885387351,173119.3304634298,1624937567.0855906,1042689211.6765779,364161013.905655,1493449.9157000172,1258367.911397877,221456.8463401997,2536361068.921571,1721029811.2779078,553121369.321095
1951,1951217N14114,CHN,1040928.1639975202,0,0,1163136372.0603542,0,0,276436.65624993,0,0,216256340.59367,0,0,642970.9480856372,0,0,605555679.6593543,0,0,823840.2027853192,0,0,856449820.2550043,0,0
1951,1951221N10136,CHN,22081066.876662027,0,0,32619942354.08109,0,0,6505223.051407461,0,0,9448593603.035913,0,0,13403406.437993491,0,0,19335961328.41335,0,0,17824756.39460629,0,0,25831169753.15265,0,0
1951,1951221N10136,HKG,2290356.5143438373,0,0,18039061321.392006,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,1951221N10136,PHL,5820.508291627617,0,0,25482787.472081065,0,0,4383.2308139891,0,0,16351388.974984,0,0,5820.508291627617,0,0,25482787.472081065,0,0,5820.508291627617,0,0,25482787.472081065,0,0
1951,1951221N10136,TWN,3680960.310423974,0,0,27637196783.307022,0,0,159104.3001708084,0,0,1757910881.1203659,0,0,1938541.702918591,0,0,12641043927.773623,0,0,3204908.861457431,0,0,22700122724.994324,0,0
1951,1951223N11148,CHN,147853.41357427,0,0,288174478.18086,0,0,91210.97314453,0,0,183610780.4686,0,0,147853.41357427,0,0,288174478.18086,0,0,147853.41357427,0,0,288174478.18086,0,0
1951,1951223N11148,JPN,832683.7471927407,45766.07260894966,0,4970919484.957531,490823276.362724,0,789666.371582151,37202.994812009,0,4569475646.2029,390175128.2341,0,832680.8196064236,45766.07260894966,0,4970916188.498009,490823276.362724,0,832683.7471927407,45766.07260894966,0,4970919484.957531,490823276.362724,0
