# These data are freely available under the Creative Commons Attribution International (CC BY 4.0) Licence.
# When using the data please cite:
# Geiger, T.; Frieler, K.; Bresch, D.N. (2017) A global data set of tropical cyclone exposure (TCE-DAT). GFZ Data Services, http://doi.org/10.5880/pik.2017.005
# 
# Generated using the climada module ISIMIP v1.0, available under: https://github.com/davidnbresch/climada_module_isimip/releases/tag/v1.0
# 
year,IBTrACS_ID,TC_name,NatCatSERVICE_ID,genesis_basin,countries_affected,ISO3,v_land_SI,v_land_kn,34kn_pop,34kn_assets,64kn_pop,64kn_assets,96kn_pop,96kn_assets
1951,1951169N18117,UNNAMED,,WP,multi,CHN,23.7,46.1,3014479.0,3639277040.0,0.0,0.0,0.0,0.0
1951,1951169N18117,UNNAMED,,WP,multi,VNM,17.5,34.1,9.0,129539.0,0.0,0.0,0.0,0.0
1951,1951177N12136,KATE,,WP,single,JPN,54.6,106.2,48679240.0,4.8683640352e+11,15384725.0,1.50793930287e+11,443340.0,6182934798.0
1951,1951178N17259,UNNAMED,,EP,single,MEX,30.1,58.4,585617.0,2515830130.0,0.0,0.0,0.0,0.0
1951,1951181N21122,UNNAMED,,WP,single,JPN,24.8,48.2,467398.0,3150227079.0,0.0,0.0,0.0,0.0
1951,1951187N17256,UNNAMED,,EP,single,MEX,18.6,36.2,317.0,2308123.0,0.0,0.0,0.0,0.0
1951,1951206N11145,LOUISE,,WP,multi,CHN,31.0,60.3,9354901.0,14558738040.0,0.0,0.0,0.0,0.0
1951,1951206N11145,LOUISE,,WP,multi,HKG,23.4,45.4,2290357.0,18039061321.0,0.0,0.0,0.0,0.0
1951,1951206N11145,LOUISE,,WP,multi,PHL,62.9,122.3,2455051.0,5803236405.0,1838376.0,3301662754.0,473215.0,1175949906.0
1951,1951217N14114,UNNAMED,,WP,single,CHN,25.0,48.6,1040928.0,1163136372.0,0.0,0.0,0.0,0.0
1951,1951221N10136,UNNAMED,,WP,multi,CHN,26.7,51.9,22081067.0,32619942354.0,0.0,0.0,0.0,0.0
1951,1951221N10136,UNNAMED,,WP,multi,HKG,24.4,47.4,2290357.0,18039061321.0,0.0,0.0,0.0,0.0
1951,1951221N10136,UNNAMED,,WP,multi,PHL,25.0,48.6,5821.0,25482787.0,0.0,0.0,0.0,0.0
1951,1951221N10136,UNNAMED,,WP,multi,TWN,26.8,52.1,3680960.0,27637196783.0,0.0,0.0,0.0,0.0
